Sira,No,Enlem,Boylam,Mesafe (metre)
54,52756,38.704818,35.569377,2750.2692535904966
55,52757,38.703498,35.5616765,2502.356317674871
56,52758,38.70934,35.56567,3287.2114443353885
57,52760,38.708155,35.553042,3541.575263430332
58,52761,38.701507,35.55918,2734.895540319623
59,52762,38.693848,35.541243,3415.426013295432
60,52763,38.712693,35.558212,3591.147419872035
61,52764,38.706772,35.549375,4017.2573838624944
62,52765,38.705168,35.556077,2930.6182888026174
63,52774,38.706767,35.55783,3123.249862676772
64,52776,38.702457,35.562145,2482.6957463057543
65,52777,38.711203,35.562808,3641.9375747244885
66,52779,38.69638,35.552872,2913.0375563800544
67,52782,38.698178,35.556177,2481.503833350827
68,52793,38.704537,35.561915,2635.939459754656
69,52795,38.71396,35.562202,3798.6401796615432
70,52797,38.692698,35.545173,3074.8406834920456
71,52800,38.70147,35.55146,3320.2907280563404
72,52801,38.697632,35.547697,3269.054443335721
73,52802,38.694357,35.557008,2806.311577936753
74,52803,38.702932,35.5578,2746.4619603385827
75,52805,38.703897,35.54974,4080.5770760341125
76,52806,38.704842,35.552878,3774.165193503674
77,52807,38.709737,35.552378,4012.607668253548
78,52808,38.701182,35.544538,4053.4451051884275
79,52810,38.693107,35.549305,2624.8717043575507
80,52812,38.693067,35.54337,3240.033210022064
81,52819,38.700508,35.551405,3155.0688817779132
82,52819,38.700508,35.551405,3155.0688817779132
83,52820,38.692962,35.561016,3146.680231973685
84,52821,38.701395,35.553512,3015.8849267649325
85,52822,38.70147,35.562312,2406.5913369768114
86,52823,38.701507,35.567833,2464.1139219603892
87,52824,38.701507,35.567833,2464.1139219603892
88,52825,38.70167,35.567912,2464.1139219603892
89,52826,38.7017975,35.55791,3363.3800428079585
90,52827,38.7017975,35.55791,3363.3800428079585
91,52828,38.70182,35.570055,2407.281756354519
92,52829,38.70193,35.559743,2586.4663403953723
93,52830,38.70193,35.556002,2845.362108779336
94,52831,38.70193,35.555353,2845.362108779336
95,52832,38.70193,35.555353,2845.362108779336
96,52833,38.701745,35.555645,2845.362108779336
97,52834,38.701745,35.555653,2845.362108779336
98,52835,38.701762,35.557913,3363.3800428079585
99,52836,38.70193,35.557912,3363.3800428079585
100,52837,38.70193,35.557435,2638.194625165715
101,52903,38.70158,35.561907,2406.5913369768114
102,52904,38.70193,35.561313,2579.0429857379
103,52916,38.70193,35.561313,2579.0429857379
104,52917,38.711753,35.564518,3888.0436729688035
105,52918,38.70152,35.538385,4208.008904097271
106,52919,38.70175,35.557558,2638.194625165715
107,52920,38.70175,35.557512,2638.194625165715
108,52921,38.70179,35.559217,2734.895540319623
109,52922,38.70193,35.55937,2586.4663403953723
110,52923,38.7019,35.559677,2586.4663403953723
111,52924,38.70193,35.557575,2638.194625165715
112,52925,38.701767,35.55315,3081.95105023224
113,52926,38.70175,35.553575,3081.95105023224
114,52927,38.71174,35.561933,3732.340257809524
115,52928,38.71185,35.558972,3520.104245246588
116,53235,38.701267,35.552787,3087.9718224153635
117,53237,38.693365,35.54815,2909.190485555643
118,53238,38.717095,35.557497,4294.032644215076
119,53239,38.695587,35.550482,2824.2337680700543
120,53240,38.709675,35.563582,3445.0629347254057
121,53242,38.702307,35.566162,2694.184447873901
122,53243,38.705518,35.5504,4184.634319913866
123,53244,38.705278,35.558078,2942.179664644523
124,53245,38.708065,35.571262,3014.88628494664
125,53246,38.709755,35.563747,3445.0629347254057
126,53247,38.709432,35.572467,3420.74222742599
127,53248,38.699942,35.571377,2369.9331411476446
128,53249,38.714393,35.565012,3681.0189401099965
129,53251,38.712507,35.55838,3591.147419872035
130,53253,38.701372,35.54766,3802.4180088084154
131,53254,38.69111,35.553033,2254.085032222575
132,53257,38.69585,35.540265,3505.1235142500373
133,53258,38.701583,35.541508,3974.148417085785
134,53260,38.701452,35.569202,2419.4354834493306
135,53261,38.694982,35.55343,2788.33961189748
136,53262,38.69964,35.547265,3545.5704349447897
137,53264,38.711332,35.5524,3859.8785372419593
138,53265,38.699438,35.547616,3561.608667528545
139,53266,38.699438,35.547616,3561.608667528545
140,53270,38.695287,35.545342,3133.635213258533
141,53271,38.695287,35.549388,2964.077288280486
142,53272,38.695287,35.549388,2964.077288280486
143,53273,38.69369,35.562343,1787.7130122457434
144,53278,38.69385,35.562343,1754.54156780791
145,53279,38.703885,35.55088,3442.764801038441
146,53281,38.711577,35.550618,4049.236490493305
147,53282,38.711577,35.550618,4049.236490493305
148,53283,38.694988,35.540885,3658.1136396950947
149,53284,38.694988,35.540885,3658.1136396950947
150,53285,38.703802,35.552388,3689.973454082078
151,53290,38.703765,35.54837,3926.173133387715
152,53291,38.69714,35.561742,1971.2064144413546
153,53292,38.68526,35.552927,2024.4088650457725
154,53293,38.69362,35.552927,2607.8702846460023
155,53294,38.683462,35.552938,2193.1024022589004
156,53295,38.69797,35.551653,3077.1272278291867
157,53296,38.696832,35.5516743,2913.0375563800544
158,53297,38.684213,35.550742,2354.2555578054707
159,53298,38.694968,35.55258,2798.255401656465
160,53300,38.695553,35.548842,3023.2584496333775
